,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,nodal,9978253,172,True,False,N/A,70,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/376258141_18390290236051481_2659911908838855907_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=HQxPvWAeqgIAX_DoM1_&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzE5MTg1MjkxMTA4ODU5NjUzNw%3D%3D.2-ccb7-5&oh=00_AfBYFxZOeidrkGrqyTyFj2uVkRfwTx56XBo2zipz_2EsFg&oe=6555D741&_nc_sid=8b3546,14.09.23 ☀️,[],2949793,28515,,2023-09-14 19:08:59,GraphImage
1,nodal,9978253,172,True,False,N/A,70,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/343259163_626516685585753_7510438437736615410_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Dl57WasBojQAX8EEaBI&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCSQVZVAU0MAr_wWHABB1Rw_aDbENqw1gkkaGNpLsbBmQ&oe=6555C273&_nc_sid=bc0c2c,"Recordando un descanso al alma en mi precioso Costa Rica🇨🇷💭🔌💚🔋…
Pura Vida!",[],1222461,5052,,2023-04-25 19:30:48,GraphSidecar
2,nodal,9978253,172,True,False,N/A,70,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/395780494_250349180994646_7960443222745366594_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=UKkXBkVnDIUAX_3BHsZ&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIyMzE4MTgzMDY5NzIxOTY2NA%3D%3D.2-ccb7-5&oh=00_AfB2n75NFJkMCv9B_XVj1AH0nSySgS4KqLBmNOMG1HP7Yg&oe=65566938&_nc_sid=8b3546,"Una preciosa noche más para recordar mami.. 🌹❤️‍🔥
@voguemexico",[],1117716,4708,,2023-10-28 00:33:58,GraphSidecar
3,nodal,9978253,172,True,False,N/A,70,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/180875588_821451898467473_7644696750664185040_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=7wYcKNhEzmAAX-xpmo0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD-RZkSqmagW0xFcmUUcGQ9kt607FhkRWezIu2ehp8g2A&oe=6556FBDB&_nc_sid=bc0c2c,,[],866999,7318,,2021-05-04 01:54:21,GraphSidecar
4,nodal,9978253,172,True,False,N/A,70,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/118857942_1549502665260350_494592769581578415_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=_lJR4aJvxqgAX_OxZmG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDxHxf8bEkcCuB5EVqO-hjtHJfhOYdVNiuQTp_6ud6I4w&oe=65573FB9&_nc_sid=bc0c2c,,[],816735,8277,,2020-09-10 01:54:04,GraphImage
5,nodal,9978253,172,True,False,N/A,70,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/280252068_3294608714201278_1414623418767138894_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=KQ52Irkbr68AX95fYZY&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCdKOEK6kQ3Yv11ZNwRUtKIRvE6scQUhZVz0M5YCPGYfQ&oe=655719E1&_nc_sid=bc0c2c,💚✨🌼,[],754373,8276,"Los Angeles, California",2022-05-13 06:53:25,GraphSidecar
6,nodal,9978253,172,True,False,N/A,70,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/104168360_298342518020317_2800012301448770435_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=rfIXOFL3poEAX8QUW5H&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAwE8eZT6mtn-BvDxLu5ZfDMMDWImc7ABgmwOdaSGmS2Q&oe=65564991&_nc_sid=bc0c2c,,[],692284,7688,La Vida Es Bella,2020-06-22 03:44:02,GraphSidecar
7,nodal,9978253,172,True,False,N/A,70,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/284994038_1054984625130323_7156079232237116964_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=lIPdVtK3iZkAX_sJx6h&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB4rFM9_-PunHaocJjuLKiIeZ9CoNsLOKhhcYfLkecHXA&oe=6556C82C&_nc_sid=bc0c2c,#Forajido,['forajido'],640043,30954,,2022-06-01 03:55:24,GraphSidecar
8,nodal,9978253,172,True,False,N/A,70,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/332919650_565249698889521_3062342241607319205_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=IzanwuXpJXgAX8XchDe&edm=APU89FABAAAA&ccb=7-5&oh=00_AfClPmSts_ROS_C2DvdHHd5jZiZIQIVxvtVB5gAI9V3VCw&oe=6556A37C&_nc_sid=bc0c2c,"Pero que noche tan preciosa me toco vivir en @premiolonuestro!✨
Toco poner la bandera de México bien arriba 🇲🇽 🔥
Gracias a todos mis fans por todo el amor y apoyo🌹 se dejaron sentir!
El forajido se llevó 2 premios a casita💚.
LOS AMO🫶🏻",[],624572,3554,,2023-02-24 19:40:37,GraphSidecar
9,nodal,9978253,172,True,False,N/A,70,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/206124849_2473992582745095_1755730761516663829_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=h62P9mWKttYAX-aDdLs&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC1AWfsUr-Gm1FU7zqiX-59F0XQt90M9STGQRywhcIdfA&oe=655572FF&_nc_sid=bc0c2c,,[],620651,4416,,2021-06-24 02:53:23,GraphImage
