,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,soohyun_k216,14430718,10,True,False,N/A,341,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/117210908_114233143721507_7385744191913075125_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Dd4gZ4QlHFMAX_AfPa9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAu3v5IDvhXuhCVFHBAKvvocW3rhM1CbbnglY6eE09wDg&oe=655781EE&_nc_sid=bc0c2c,#ItsOkaytoNotBeOkay #MmM,"['itsokaytonotbeokay', 'mmm']",2890171,39505,,2020-08-09 08:49:49,GraphImage
1,soohyun_k216,14430718,10,True,False,N/A,341,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/115927570_111997687264236_227913791650770786_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=tASePWFEciYAX-FvO74&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBOwLJ4VwPiEcZQ5BOAQk-mRJPaNZhLettwYkdnQFXJrA&oe=65584E3B&_nc_sid=bc0c2c,#mM,['mm'],2694643,63244,,2020-07-25 06:28:06,GraphImage
2,soohyun_k216,14430718,10,True,False,N/A,341,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/109578160_2700807930163426_5777572993338467319_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=FrkkP7r3Q2sAX8qCg_q&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBxZHT8oFLseTvQSsYKIzINSI_WpfbH4q2UUYSuixOsSA&oe=6557D655&_nc_sid=bc0c2c,#ItsOkaytoNotBeOkay,['itsokaytonotbeokay'],2569636,54276,,2020-07-25 06:29:05,GraphImage
3,soohyun_k216,14430718,10,True,False,N/A,341,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/118361445_590572941624102_2265571392097657081_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=gOdbw3wnBdAAX8RsIL1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDobwexbS3pwMfk7VNaeWeGIN7xzxO9Eet8rDx-Yoi0RA&oe=65582B38&_nc_sid=bc0c2c,,[],2406084,41523,,2020-08-25 14:20:13,GraphImage
4,soohyun_k216,14430718,10,True,False,N/A,341,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/245160054_3033391940311571_1784473630830355053_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=OkkA1lKQvrQAX-b3mdC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCEUIt7FX1T79JdO2Px2Flf6FR4l1YeTPYGMRJr6jjg3g&oe=6558ADFB&_nc_sid=bc0c2c,,[],2397137,17719,,2021-10-10 12:49:46,GraphImage
5,soohyun_k216,14430718,10,True,False,N/A,341,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/117166239_226072241934534_5360276579612962238_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=NsxdkiRBxtgAX_4d5-5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC5e45UQBCViStan_1R9VIZkDvkGolQqOM-y27oHinu2A&oe=6557BD03&_nc_sid=bc0c2c,#ItsOkaytoNotBeOkay #주리,"['itsokaytonotbeokay', '주리']",2351683,18636,,2020-08-06 08:19:54,GraphImage
6,soohyun_k216,14430718,10,True,False,N/A,341,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/125493827_441657953901470_4865641039307397299_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=Ih-pwo2MNngAX-DfGt3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB6qw7QK4x1GnWhho6Gcce-F6e92VkGwaC_9LKljFNzrA&oe=65584349&_nc_sid=bc0c2c,,[],2284854,28749,,2020-11-18 09:57:10,GraphImage
7,soohyun_k216,14430718,10,True,False,N/A,341,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/209925591_1210376116130614_3349184225435901173_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=WXDb2aug_DEAX9cx7rX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDWdKRwjtXfTKIDGPZmuSas8Hdy0LHV1ECnH3PBj_DWwQ&oe=6558451E&_nc_sid=bc0c2c,,[],2265371,21087,,2021-06-30 11:03:08,GraphImage
8,soohyun_k216,14430718,10,True,False,N/A,341,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/119998415_1227026564316307_6334557945714599703_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=La4Z5duC5f4AX9wpDs7&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCuBaPF3439JcfKKhbX2J2GMer8djbU9q_gySNBaMkEDw&oe=655735F2&_nc_sid=bc0c2c,,[],2216895,29948,,2020-09-22 05:44:20,GraphImage
9,soohyun_k216,14430718,10,True,False,N/A,341,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/181227466_222712782521034_5881220905478414556_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=YO2il6U7rFwAX-7PN4T&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC4wZUhSHlqE1hW_tx164WZXvZ75C1U20mQmTagg0QUUw&oe=65586B17&_nc_sid=bc0c2c,,[],2230507,16232,,2021-05-04 09:28:50,GraphImage
