,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,tiagopzk,6698154,627,True,False,N/A,72,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/361585235_18302152249128494_2295372695164249901_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=IDyjslNkW80AX9m62qH&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfAN17z2EPvjPcDNZNFJUck9Z6h42wost8BN2ARevfy-SA&oe=6556653D&_nc_sid=bc0c2c,@leomessi humildad pura.,[],2626237,5365,Inter Miami CF,2023-07-17 01:38:39,GraphSidecar
1,tiagopzk,6698154,627,True,False,N/A,72,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/274752006_993643188196483_5856975507567924109_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=sDrnKHpVjOoAX_arHgN&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD4LjoI87S6Yec-Ms0gBVuMxgWwvFlG-wSzPi8rKA8giw&oe=6556C6F6&_nc_sid=bc0c2c,ARGENTINA EN LA CASA🇦🇷@premiolonuestro,[],1259923,7347,,2022-02-24 23:13:55,GraphSidecar
2,tiagopzk,6698154,627,True,False,N/A,72,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/270237872_2729877087317097_2783876513538841283_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=0HLXCpik_0oAX9l4ecx&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBY3NYRnYCKtARv-Y62WHyqWumq0gJ_B1_GoQD1ow4RRA&oe=6556749B&_nc_sid=bc0c2c,"El biza la soltó pero el gotti la agarró

@bizarrap TAMO AFUERAA YA",[],1244340,10784,,2021-12-28 22:20:50,GraphImage
3,tiagopzk,6698154,627,True,False,N/A,72,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/274361812_4346519292115791_5449145540700310186_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=WU_uO7b_LgMAX-1cl4d&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCjeGNVFX1-uuKgMKJFkNqMX0s2BMEtBjZ42tpEpXGm_w&oe=65570D10&_nc_sid=bc0c2c,Justin es de piscis😂,[],1172591,6483,,2022-02-19 17:32:29,GraphSidecar
4,tiagopzk,6698154,627,True,False,N/A,72,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/310158480_131083653025047_1516258650137749394_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=m0RdgnLzyAYAX_U7Sqg&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCSo8oJbIQElMoTrWMGJQ9MllgMRzkDhNEYDxJr9P2-HA&oe=6555E456&_nc_sid=bc0c2c,"Gracias a vos hago musica, leyenda🐐 @daddyyankee",[],1103965,3809,,2022-10-03 21:46:59,GraphSidecar
5,tiagopzk,6698154,627,True,False,N/A,72,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/337720296_899226321338602_4184058009981353793_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=1M_aljEWjLUAX_aXEVF&edm=APU89FABAAAA&ccb=7-5&oh=00_AfApagEQRQ9f0_eLafBhrSs5291gAznpQhURRB-WFwC97g&oe=655615F8&_nc_sid=bc0c2c,Mira donde voy a cantar mañana😭gracias gente gracias dios❤️🇦🇷,[],1098217,2398,Camp Nou,2023-03-25 21:25:43,GraphSidecar
6,tiagopzk,6698154,627,True,False,N/A,72,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/375614626_1312309732742623_1519491647300708891_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=emtEoHZ5LGMAX-F0_bP&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE4NzUwNzkwMjg3NTM4Mjg4Mw%3D%3D.2-ccb7-5&oh=00_AfBys7jP_FOmi1l9ca7ydVz-hemc6DM0U-lbz0qOnSaOsg&oe=65563598&_nc_sid=8b3546,"ELLA TIENE 14/09 
Nathy y Tiago para los romantikos puro baxateooooo 💋",[],1080920,3587,,2023-09-08 19:16:15,GraphSidecar
7,tiagopzk,6698154,627,True,False,N/A,72,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/351716142_742047647666921_2057926724292071075_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Hy-t9SsIW6YAX9HB2Dd&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAuEb9R-gwAUafEoa6hVwS_UIhe5h_n6H3PT8z0wjGeyw&oe=6556541A&_nc_sid=bc0c2c,Gracias x tanto amor😘🖤,[],993878,3532,,2023-06-06 00:13:10,GraphSidecar
8,tiagopzk,6698154,627,True,False,N/A,72,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/391731937_18315626347128494_471970049770558137_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=0CAqdomh3xQAX_YJPkt&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIxMjExODc4MzY1NzU5NDg4Nw%3D%3D.2-ccb7-5&oh=00_AfAgMee5Y1zsXR8-wWdBKgLk7skNhiUZNiGI09GbRC7gfw&oe=6556BBCB&_nc_sid=8b3546,"Que difícil que se me hacía todo antes de vos, que fácil fue ir contra el mundo agarrados las manos, es complicado elegir un solo momento de este año porque se sintió como una vida.. tantos recuerdos guardados llenos de historias. Gracias por hacer mi vida mejor..",[],982714,1911,,2023-10-12 18:13:40,GraphSidecar
9,tiagopzk,6698154,627,True,False,N/A,72,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/298875543_744717463311961_8535405063898511428_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=rzYYkyT-0L0AX8tgsSe&edm=APU89FABAAAA&ccb=7-5&oh=00_AfASXIPagqUjzMVlUUqxOmrXnShfX-oKYF20RjwPjm_Hdw&oe=6556E724&_nc_sid=bc0c2c,Y a mi cora lo tiré,[],935247,7510,"Rosario, Santa Fe",2022-08-13 20:55:13,GraphSidecar
